"SA1_MAINCODE_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
"11903137011","101","Banks","1","New South Wales",0.1643
"11903137012","101","Banks","1","New South Wales",0.0817
"11903137013","101","Banks","1","New South Wales",0.1034
"11903137014","101","Banks","1","New South Wales",0.1496
"11903137015","101","Banks","1","New South Wales",0.0932
"11903137016","101","Banks","1","New South Wales",0.0659
"11903137017","101","Banks","1","New South Wales",0.1419
"11903137018","101","Banks","1","New South Wales",0.1275
"11903137019","101","Banks","1","New South Wales",0.1633
"11903137020","101","Banks","1","New South Wales",0.081
"11903137021","101","Banks","1","New South Wales",0.0798
"11903137022","101","Banks","1","New South Wales",0.0803
"11903137023","101","Banks","1","New South Wales",0.0968
"11903137024","101","Banks","1","New South Wales",0.1457
"11903137030","101","Banks","1","New South Wales",0.0787
"11903137101","101","Banks","1","New South Wales",0.0951
"11903137102","101","Banks","1","New South Wales",0.1616
"11903137103","101","Banks","1","New South Wales",0.1056
"11903137104","101","Banks","1","New South Wales",0.1323
"11903137105","101","Banks","1","New South Wales",0.1811
"11903137106","101","Banks","1","New South Wales",0.1526
"11903137107","101","Banks","1","New South Wales",0.2794
"11903137108","101","Banks","1","New South Wales",0.2412
"11903137109","101","Banks","1","New South Wales",0.1704
"11903137110","101","Banks","1","New South Wales",0.254
"11903137111","101","Banks","1","New South Wales",0.0998
"11903137112","101","Banks","1","New South Wales",0.1674
"11903137113","101","Banks","1","New South Wales",0.1972
"11903137114","101","Banks","1","New South Wales",0.0821
"11903137115","101","Banks","1","New South Wales",0.1387
"11903137116","101","Banks","1","New South Wales",0.103
"11903137117","101","Banks","1","New South Wales",0.0698
"11903137118","101","Banks","1","New South Wales",0.1097
"11903137119","101","Banks","1","New South Wales",0.0936
"11903137120","101","Banks","1","New South Wales",0.1288
"11903137121","101","Banks","1","New South Wales",0.1253
"11903137122","101","Banks","1","New South Wales",0.1056
"11903137123","101","Banks","1","New South Wales",0.1004
"11903137124","101","Banks","1","New South Wales",0.0661
"11903137125","101","Banks","1","New South Wales",0.1424
"11903137126","101","Banks","1","New South Wales",0.0584
"11903137127","101","Banks","1","New South Wales",0.1402
"11903137128","101","Banks","1","New South Wales",0.2636
"11903137129","101","Banks","1","New South Wales",0.2123
"11903137130","101","Banks","1","New South Wales",0.0932
"11903137131","101","Banks","1","New South Wales",0.084
"11903137201","101","Banks","1","New South Wales",0.2312
"11903137202","101","Banks","1","New South Wales",0.2254
"11903137203","101","Banks","1","New South Wales",0.2059
"11903137204","101","Banks","1","New South Wales",0.3595
"11903137205","101","Banks","1","New South Wales",0.1337
"11903137206","101","Banks","1","New South Wales",0.2252
"11903137207","101","Banks","1","New South Wales",0.2116
"11903137208","101","Banks","1","New South Wales",0.1926
"11903137209","101","Banks","1","New South Wales",0.2919
"11903137210","101","Banks","1","New South Wales",0.1144
"11903137211","101","Banks","1","New South Wales",0.0939
"11903137212","101","Banks","1","New South Wales",0.0866
"11903137213","101","Banks","1","New South Wales",0.1449
"11903137214","101","Banks","1","New South Wales",0.1335
"11903137215","101","Banks","1","New South Wales",0.0713
"11903137216","101","Banks","1","New South Wales",0.2522
"11903137217","101","Banks","1","New South Wales",0.0709
