district,link,name,party,phonenumber,twitter
"Kingston, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWA,Hon Amanda Rishworth MP,Australian Labor Party,(08) 8186 2588,http://twitter.com/AmandaRishworth
"Grey, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWS,Mr Rowan Ramsey MP,Liberal Party of Australia,,
"Chisholm, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=18661,Ms Julia Banks MP,Liberal Party of Australia,(03) 9808 3188,
"Durack, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=249308,Hon Melissa Price MP,Liberal Party of Australia,,https://twitter.com/Melissa4Durack
"Wentworth, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=885,Hon Malcolm Turnbull MP,Liberal Party of Australia,(02) 9327 3988,http://twitter.com/TurnbullMalcolm
"Aston, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2Y,Hon Alan Tudge MP,Liberal Party of Australia,(03) 9887 3890,http://twitter.com/AlanTudgeMP
"Sturt, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=9V5,Hon Christopher Pyne MP,Liberal Party of Australia,(08) 8431 2277,https://twitter.com/CPyne
"Macquarie, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=181810,Ms Susan Templeman MP,Australian Labor Party,(02) 4573 8222,http://www.twitter.com/stemplemanmp
"Wannon, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=210911,Hon Dan Tehan MP,Liberal Party of Australia,,http://twitter.com/DanTehanWannon
"Hume, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=231027,Hon Angus Taylor MP,Liberal Party of Australia,,https://twitter.com/angustaylormp
"Paterson, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=264170,Ms Meryl Swanson MP,Australian Labor Party,(02) 4983 2401,
"Lilley, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=2V5,Hon Wayne Swan MP,Australian Labor Party,(07) 3266 8244,https://twitter.com/SwannyQLD
"Deakin, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=242515,Hon Michael Sukkar MP,Liberal Party of Australia,(03) 9874 1711,
"Cowan, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=13050,Dr Anne Aly MP,Australian Labor Party,(08) 9409 4517,
"Makin, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWB,Mr Tony Zappia MP,Australian Labor Party,(08) 8265 3100,
"Hasluck, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3A,"Hon Ken Wyatt AM, MP",Liberal Party of Australia,(08) 9359 0322,http://twitter.com/KenWyattMP
"La Trobe, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E0F,Mr Jason Wood MP,Liberal Party of Australia,(03) 9768 9164,https://twitter.com/JasonWood_MP
"Goldstein, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=IMW,Mr Tim Wilson MP,Liberal Party of Australia,(03) 9557 4644,https://twitter.com/timwilsonmp
"O'Connor, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=198084,Mr Rick Wilson MP,Liberal Party of Australia,,
"Denison, Tasmania",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=C2T,Mr Andrew Wilkie MP,Independent,(03) 6234 5255,http://twitter.com/WilkieMP
"Robertson, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=241590,Mrs Lucy Wicks MP,Liberal Party of Australia,(02) 4322 2400,https://twitter.com/LucyWicksMP
"Gellibrand, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=193430,Mr Tim Watts MP,Australian Labor Party,(03)9687 7661,https://twitter.com/TimWattsMP
"Fisher, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=265967,Mr Andrew Wallace MP,Liberal Party of Australia,(07) 5493 5556,
"Bonner, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E0D,Mr Ross Vasta MP,Liberal Party of Australia,(07) 3893 3488,
"Forde, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=188315,Mr Bert van Manen MP,Liberal Party of Australia,(07) 3807 6340,http://twitter.com/bertvanmanen/
"Gilmore, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=241586,Mrs Ann Sudmalis MP,Liberal Party of Australia,(02) 4423 1782,
"Werriwa, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=265990,Ms Anne Stanley MP,Australian Labor Party,(02) 8783 0977,http://www.twitter.com/annewerriwa
"Lingiari, Northern Territory",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=IJ4,Hon Warren Snowdon MP,Australian Labor Party,,
